,,Данные по общеобразовательным школам Ыссык-Кульской области,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"№ 
п/п",Наименование школы,Адрес школы,Ф.И.О директора,"Числен-сть 
учащихся","Числен-ть 
учителей","Объем финансовых средств на 2014 год, в том числе:",,,"Наличие 
попечительских 
советов",,,,,,,
,,,,,,Всего,"Республик.
бюджет","Местный
бюджет",,,,,,,,
,Тюпский  район,,,,,,,,,,,,,,,
8,СШ Укуева ,с.Жениш ул.Байгазы №13,"Асангожоев Максат Женишович
 тел 0558 78-37-83",550,43,5977.9,5380.8,597.1,+,,,,,,,
9,СШ К.Саалиева,с.Дархан ул Конокказы №125,Иманакунов Нурбай,792,15,7828.5,7278.0,550.5,-,,,,,,,
10,СШ А.Сатылганов,с.Дархан ул Конокказы №95," Кичинемолдоева Клара Эсенкановна
 тел.0778 85-32-52",601,43,5937.6,5553.1,384.5,-,,,,,,,
11,СШ А.Рысмендеева,с.Жалгыз-Орук ул.Сулайманов №1,"Мусакунова Айнагул Казыбековна 
0558 62-01-04",217,22,2651.5,2559.9,91.6,-,,,,,,,
12,СШ В.Ленина,с Кызыл-Суу ул Манаса ,"Усенбаева Озипа Бейшеевна 
тел.0773 78-38-25",825,51,7837,7490.4,346.6,-,,,,,,,
13,СШ им Э.Гапарова,с.Кызыл-Суу ул Чикаева 98,"Капалова Замира Кудайбергеновна
 тел.0558 55-25-14",546,44,6118.7,5889.3,229.4,-,,,,,,,
14,СШ им С.Абдрахманова,с.Кызыл-Суу ул Манаса 156 ,"Дыптан Татьяна Никифоровна 
тел.0554 05-59-13",1095,72,10057.4,9597.5,459.9,+,,,,,,,
15,СШ им А.Алыбакова, с.Светлая Поляна ул Манаса №55,"Абдиева Рахат Бактыгуловна 
тел.0554 13-38-13",502,37,6740.2,5734.6,1005.6,-,,,,,,,
16,Сш.им Ж.Байболотова,с.Чон-Кызыл-Суу ул.Чон-Кызыл-Суу №48,"Султаналиев Асангазы Абылгазиевич 
тел. 0551 32-21-88",98,18,3043.4,2466,577.4,-,,,,,,,
17,СШ им.Алтымышбаева, с.Тилекмат ул.Асаналиева №53,"Мукашев Данил Кенешович 
тел. 0772 68-00-91",474,36,5827.1,5114.4,712.7,-,,,,,,,
18,Сш им.С.Давлетова,с . Ак-Добо ул.Сарт Аке №33,"Бейшембиева Нуржамал Айылчиевна 
тел 0550 48-65-33",311,30,4146.1,3678.5,467.6,-,,,,,,,
19,СШ.им.Сооронбаева, с Ан-Остон ул . Б.Ибраев №30,"Исманов Аскарбек
 тел.0771 93-03-52",345,39,4587.2,4074.5,512.7,-,,,,,,,
20,СШ им.Байбекова,с.Мундуз ул Керимкулов №4,"Рысбеков Эдил Рысбекович 
тел. 0779 63-89-10",85,18,2109.4,2038.5,70.9,-,,,,,,,
21,СШ.Богатыровка,с.Богатыровка ул.1-Май №8,"Адыров Нурзат Курманкожоевич
 тел.0777 09-85-87",219,17,2603.7,2542.8,60.9,-,,,,,,,
22,СШ Конкина, с Конкино ул.Школьная №2,"Жумаева Жамила Харбиевна 
тел.0550 86-60-69",144,16,2230.1,1966.8,263.3,-,,,,,,,
23,СШ им. Курманбекова,с.Жон-Булак ул.Кененбаев №14,"Асылбеков Аваз Эсенович
 тел. 0777 14-60-94",415,36,5269.4,4751.4,518,-,,,,,,,
24,СШ им.А.Арстакеева,с Балтабай ул.Осмон № 33,"Иргебаев Анарбек 
тел.0778 84-87-65",329,39,6200.4,5145.4,1055,-,,,,,,,
25,СШ им.Ю.Хазрет ,с.Ырдык ул.Хусе Маке №4,"Юсупова Зебера Харсановна 
тел.0557 77-79-82",602,34,6151.1,5432.1,719,-,,,,,,,
,,,,12379,950,143092.3,127695.0,15397.3,,,,,,,,
26,СШ Ж.Чабалдаев,с Саруу ул Мамажан №39," Асамбаев Улан  
тел.0778-69-66-06",529,44,6414.4,5523.9,890.5,-,,,,,,,
27,СШ С.Сыдыков ,с.Саруу ул Мамажан б/н,"Абдразаков Замир 
тел.0553 12-05-78",880,84,9539.4,8543.3,996.1,+,,,,,,,
28,НСШ Санаторий ,с Санаторий ,"Волошкино Татьяна 
тел.0554 06-01-22",23,2,648.8,509.8,139.0,-,,,,,,,
29,СШ Тынаев ,с Оргочор ул.Токтогула №16,"Байгашкаева Айжан 
тел.0773 75-52-85",541,40,6632.8,5910.6,722.2,+,,,,,,,
30,СШ Ж.Желденбаев,с Боз-Бешик ул.Керим б/н,"Чекирова Алтын тел. 
0554 15-11-67",204,23,2978.6,2706.3,272.3,-,,,,,,,
31,СШ Аманбаев,с Кабак ул.Мундузбай №37,"Эсеналиева Нургул 
тел.0551 14-43-02",271,22,3619.4,2835.1,784.3,-,,,,,,,
32,СШ Исмаилов ,с Желе-Добо ул Бекеева №1,"Абдыкеримова Алтын 
тел.0770 45-80-48",216,22,3366.2,2741.1,625.1,-,,,,,,,
33,СШ Иманов,с.Жети-Огуз ул.Байсеркеева №115,"Кадыркулова Айнагул 
тел.0770 41-89-81",949,51,13318.3,10571.7,2746.6,+,,,,,,,
34,СШ им.Талып Акун ,с Чырак ул.Айбашев №8,"Уметалиев Жыргал 
тел.0552 73-11-06",410,39,5611.7,4425.1,1186.6,-,,,,,,,
35,СШ им. Эсенканов,с Ак-Кочкор ул Качкынчиев №2,"Кебекчиева Саткын 
тел.0779 80-55-57",166,17,3466.9,2693.9,773.0,-,,,,,,,
36,СШ им К.Эсенкожоев,с.Ичке Булун ул.Акжанов №14,"Айтбаев Талант 
тел.0556 81-16-88",264,31,4276.3,3831.8,444.5,-,,,,,,,
37,СШ им. Шевченко,с Липенка ул.Школьная б/н,"Бектуров Эсенгелди
 тел. 0777 75-63-51",298,37,4847.6,4677.4,170.2,-,,,,,,,
38,НСШ Ак-Шыйрак,с Уч-Кошкон ,"Абдыбекова Салкын 
тел 0773 70-06-24",55,13,4359.9,4043.6,316.3,-,,,,,,,
,"Итого по школам 
с №26 по №38",,,4806,425,69080.3,59013.6,10066.7,+3,,,,,,,
,,,,,,,,,-7,,,,,,,
," Итого по школам 
Жети-Огузского района",,,17185,1375,212172.6,186708.6,25464,+6,,,,,,,
,,,,,,,,,-32,,,,,,,
,Тонский  район,,,,,,,,,,,,,,,
1, Сш имени А.С.Пушкин ,п. Каджы-Сай ул. Горный  №34,Жаанбаева Гулайым Токоновна 0550026033,636,55,9774.9,9123.1, -,+,,,,,,,
2,Сш имени А.Салиев   ,с. Тон ул. Ысык-Кол №3             ,"Мамбетова Тынара  Искенова 
0773  644750",259,28,3660.1,3008.3, -,+,,,,,,,
3,Сш имени М.Аламанов ,с.Кажы-Саз ул.Мугалим б/н         ,Турганбаев  Жээнбек  Мукашевич 0702 23-02-58,69,15,2931.9,2280.1, -, -,,,,,,,
4,  Сш имени  Т.  Шамей  ,с. Боконбаево ул.    Ленина  №65,Шаршенбек кызы Гулзада 772318147,460,33,6954.4,6302.6, -,+,,,,,,,
5,Сш имени Ж.Алты-баев ,с. Боконбаево. ул. Тойгонов  № б/н,Омурканова   Айжан   Токтомбековна 772863786,694,49,10466.5,9814.7, -, +,,,,,,,
6,Сш имени Ж. Боконбаев  ,с. Боконбаево. ул.  Атакан  № б/н,Кыдырова Бактыгул   Кыдыровна 773119037,1146,76,14385.7,13733.9, -,+,,,,,,,
7,Сш имени Б. Мамбетов,с. Торт-Кул.   ул. Абдрашит №23,Орозалиева Бегайым  Алпамышовна770589461,641,52,8789.9,8138.1, -,+,,,,,,,
8,Сш имени К.Тилеков ,с. Темир-Канат ул. Абатай №20  ,Дылдаева Бактыгул 394760209,209,26,4440.7,3788.9, -, -,,,,,,,
9,Сш имени К.Тайлаков ,с.Туура-Суу. Ул. Малиев б/н,Рахманова Айнура 556810078,177,19,4729.3,4077.5, -, -,,,,,,,
10,Сш имени М.Догдуров ,с.Эшперов ул.  С.Мамбетов №63,Муратбек у  Назар 773398350,468,44,5658,5006.2, -, -,,,,,,,
11,Сш имени Ж.Турусбеков ,с.Ак-Сай ул.Жамгырчиев №9,"Жылкыбаев Максат 
0770603136",320,39,4941.9,4290.1, -, -,,,,,,,
12,Сш имени Ж. Жамгырчиев  ,с. Кок-Сай ул. Турусбеков №б/н,Сылымов Сьезд 770357357,201,25,4206.6,3554.8, -, -,,,,,,,
13,Сш имени А. Колбаев,с. Жер-Уй ул. Турдугул №21            ,Турдакунов  Асейин 773007916,132,19,3825.1,3173.3,  -, -,,,,,,,
14,Сш имени М.Жумаев,с. Кызыл-Туу ул.   ул.Турган №22    ,Жумаканов Керезбек 778156575,293,29,3805,3153.2, -, -,,,,,,,
15,Сш имени Жангазиев,с.Каракоо ул. Баатыркан №5              ,Боталаева Анара 0557650446,632,57,6403.8,5752, -, -,,,,,,,
16,Сш имени   Н. Мамбетов,с. Бар-Булак. ул.Жаны №б/н,Исмаилова Рита 0773-96-18-34,174,21,2888.5,2236.7, -, -,,,,,,,
17,Сш имени Н.  Садыков,с. Калкагар ул. Мектеп  №3           ,Шейшеканов Уран  773193702,173,31,4003.8,3352, -, -,,,,,,,
18,Сш имени М.Кидибаев,с. Ала-Баш ул.  К.Мамбетов №2           ,Осмонканов Жакшылык 778287671,289,36,5280.2,4628.4, -, -,,,,,,,
19,Сш имени И.Текеев,с. Дон-Талаа. ул. Бекбосун №3,Мамырбаев Канат 773364543,146,25,3554.6,2902.8, -, -,,,,,,,
20,Сш имени Ж.Айтикеев,с.  Кол-Тор .  ул.Токтогул №5,Жумабеков  Кылычбек   Токталиевич 778885404,338,40,3667.3,3015.5, -, -,,,,,,,
